state,geo_id,provider,num
PA,42001,"Atlantic Broadband Finance, LLC",3
PA,42001,"Broadview Networks Holdings, Inc.",1
PA,42001,"COMCAST CABLE COMMUNICATIONS, LLC",3042
PA,42001,CSC Holdings LLC,6
PA,42001,"CTI Networks, Inc",133
PA,42001,"CenturyLink, Inc.",3797
PA,42001,"EarthLink Business, LLC",4
PA,42001,GCI Communication Corp.,4250
PA,42001,"HNS License Sub, LLC",4250
PA,42001,"King Street Wireless, L.P.",15
PA,42001,"Level  3 Communications, LLC",20
PA,42001,MCI Communications Corporation,8
PA,42001,"PAETEC Communications, Inc.",1
PA,42001,"Service Electric Cablevision, Inc.",2
PA,42001,Shenandoah Telecommunications Company,202
PA,42001,"Spectrotel, Inc.",2
PA,42001,"Sunesys, LLC",42
PA,42001,Telegia Communications Inc.,49
PA,42001,US LEC LLC,2
PA,42001,"VSAT Systems, LLC",4250
PA,42001,Verizon Pennsylvania LLC,203
PA,42001,"ViaSat, Inc.",4429
PA,42001,"Windstream Pennsylvania, LLC",1
PA,42001,"XO Communications Services, LLC",2
PA,42003,Affiniti PA LLC,1
PA,42003,Armstrong Telephone Company-PA,38
PA,42003,"Armstrong Utilities, Inc.",882
PA,42003,"Atlantech Online, Inc.",1
PA,42003,"Atlantic Broadband Finance, LLC",1
PA,42003,Bentleyville Communications Corporation,20
PA,42003,"Birch Communications, Inc.",5
PA,42003,"Block Line Systems, LLC",6
PA,42003,"Broadview Networks Holdings, Inc.",4
PA,42003,"COMCAST CABLE COMMUNICATIONS, LLC",23649
PA,42003,Cavalier Telephone,52
PA,42003,"CenturyLink, Inc.",2
PA,42003,"Citynet Holdings, LLC",1
PA,42003,Cogent Communications Group,19
PA,42003,"Consolidated Communications Holdings, Inc.",1405
PA,42003,DQE Communications LLC,221
PA,42003,"EarthLink Business, LLC",402
PA,42003,FULL SERVICE NETWORK LP,87
PA,42003,GC Pivotal LLC d/b/a Global Capacity,392
PA,42003,GCI Communication Corp.,30043
PA,42003,"HNS License Sub, LLC",30043
PA,42003,IRONTON TELEPHONE COMPANY,4
PA,42003,InterGlobe Communications,1
PA,42003,"Level  3 Communications, LLC",355
PA,42003,"Lightower Fiber Networks I, LLC (fka Light Tower Fiber Long Island LLC)",3599
PA,42003,MCI Communications Corporation,341
PA,42003,"NetFortris Acquisition Co., Inc.",1
PA,42003,"PAETEC Communications, Inc.",174
PA,42003,"Salsgiver Telecom, Inc.",65
PA,42003,"Spectrotel, Inc.",6
PA,42003,"Sunesys, LLC",3862
PA,42003,T2 Technologies,1
PA,42003,"TailWind Voice & Data, Inc.",1
PA,42003,US LEC LLC,542
PA,42003,"Unified Communications, Inc.",1
PA,42003,"VSAT Systems, LLC",30043
PA,42003,Verizon Pennsylvania LLC,34218
PA,42003,"ViaSat, Inc.",30519
PA,42003,"Windstream Conestoga Telephone, Inc",5
PA,42003,"Windstream D&E, Inc.",2
PA,42003,"Windstream Pennsylvania, LLC",144
PA,42003,"XO Communications Services, LLC",109
PA,42003,"Zayo Group, LLC",5
PA,42005,Affiniti PA LLC,1
PA,42005,"Armstrong Utilities, Inc.",208
PA,42005,"Atlantic Broadband Finance, LLC",5
PA,42005,Bentleyville Communications Corporation,4
PA,42005,"COMCAST CABLE COMMUNICATIONS, LLC",2332
PA,42005,"CenturyLink, Inc.",126
PA,42005,"Consolidated Communications Holdings, Inc.",147
PA,42005,DQE Communications LLC,1
PA,42005,"EarthLink Business, LLC",2
PA,42005,GCI Communication Corp.,4151
PA,42005,"HNS License Sub, LLC",4151
PA,42005,"Level  3 Communications, LLC",2
PA,42005,MCI Communications Corporation,6
PA,42005,National Mobile Communications,1
PA,42005,"PAETEC Communications, Inc.",2
PA,42005,"Salsgiver Telecom, Inc.",87
PA,42005,"Sunesys, LLC",50
PA,42005,US LEC LLC,8
PA,42005,"VSAT Systems, LLC",4151
PA,42005,Verizon Pennsylvania LLC,86
PA,42005,"ViaSat, Inc.",4315
PA,42005,"Windstream D&E, Inc.",2
PA,42005,"Windstream Pennsylvania, LLC",2521
PA,42005,"XO Communications Services, LLC",3
PA,42007,Armstrong Telephone Company-PA,56
PA,42007,"Armstrong Utilities, Inc.",752
PA,42007,"Atlantic Broadband Finance, LLC",1
PA,42007,"COMCAST CABLE COMMUNICATIONS, LLC",4121
PA,42007,"CenturyLink, Inc.",11
PA,42007,"Consolidated Communications Holdings, Inc.",3
PA,42007,DQE Communications LLC,11
PA,42007,"EarthLink Business, LLC",20
PA,42007,Frontier Communications Corporation,6
PA,42007,GC Pivotal LLC d/b/a Global Capacity,16
PA,42007,GCI Communication Corp.,5610
PA,42007,"HNS License Sub, LLC",5610
PA,42007,"Level  3 Communications, LLC",16
PA,42007,"Lightower Fiber Networks I, LLC (fka Light Tower Fiber Long Island LLC)",63
PA,42007,MCI Communications Corporation,29
PA,42007,"PAETEC Communications, Inc.",16
PA,42007,"RAA Data Services, Inc.",2
PA,42007,"Sunesys, LLC",1002
PA,42007,US LEC LLC,34
PA,42007,"VSAT Systems, LLC",5610
PA,42007,Verizon Pennsylvania LLC,4148
PA,42007,"ViaSat, Inc.",5770
PA,42007,"Windstream Pennsylvania, LLC",243
PA,42007,"XO Communications Services, LLC",2
PA,42009,"Atlantic Broadband Finance, LLC",457
PA,42009,"COMCAST CABLE COMMUNICATIONS, LLC",1545
PA,42009,"CenturyLink, Inc.",3331
PA,42009,"EarthLink Business, LLC",2
PA,42009,Frontier Communications Corporation,456
PA,42009,GCI Communication Corp.,6638
PA,42009,"HNS License Sub, LLC",6638
PA,42009,"In The Stix Broadband, LLC",5
PA,42009,"King Street Wireless, L.P.",3652
PA,42009,"Level  3 Communications, LLC",1
PA,42009,MCI Communications Corporation,4
PA,42009,"PAETEC Communications, Inc.",2
PA,42009,"Spectrotel, Inc.",2
PA,42009,"VSAT Systems, LLC",6638
PA,42009,Verizon Pennsylvania LLC,135
PA,42009,"ViaSat, Inc.",6915
PA,42009,"Windstream D&E, Inc.",18
PA,42009,"XO Communications Services, LLC",1
PA,42011,Affiniti PA LLC,2
PA,42011,"Atlantic Broadband Finance, LLC",1
PA,42011,"Birch Communications, Inc.",1
PA,42011,"Block Line Systems, LLC",15
PA,42011,"Blue Ridge Cable Technologies, Inc.",1000
PA,42011,"Broadview Networks Holdings, Inc.",13
PA,42011,"BullsEye Telecom, Inc.",1
PA,42011,"COMCAST CABLE COMMUNICATIONS, LLC",7808
PA,42011,"EarthLink Business, LLC",31
PA,42011,Frontier Communications Corporation,1373
PA,42011,GC Pivotal LLC d/b/a Global Capacity,34
PA,42011,GCI Communication Corp.,12574
